Mes,Year,Palmillas,Magdaleno Aguilar,La Vega,Plan de Ayala,La Reforma,Jaumave DGE,Jaumave SMN,Francisco Zorilla,San vicente,La Encantada
Jun,1990,15,19.8,17,16,0,11,16.95,15,26.7,175.4
Jul,1990,95,96.7,158.56,463,0,73.4,150.96,60.9,74.1,172.83
Ago,1990,77,92.5,69.13,64.4,47,84.7,69.33,48.1,75.2,153.89
Sep,1990,180,200.4,154.6,165,334,140.4,154.14,122.2,177.6,125.83
Oct,1990,56,44.5,48.96,26,40,61,49.51,31.5,72.9,149.53
Nov,1990,2,0,4.55,0,0,7.4,4.68,6,6,380.14
Dic,1990,0,0,0,0,0,0,0,0,0,372.18
Ene,1991,0,0,1.13,0,0,5.1,1.19,0,0,203.04
Feb,1991,22,23.7,14.74,20,47,20.53,15.79,18,3,159.76
Mar,1991,0,0,0,0,0,0,0,0,0,152.86
Abr,1991,9.5,4.7,6.29,5,18,7.73,6.6,4.2,8,132.43
May,1991,124,90.3,70.86,103,38,50.8,69.9,44,59.9,141.49
Jun,1991,100,100,100.47,161,96,94.3,98.97,48.5,99,168.34
Ago,1991,77,63,40.62,39,46,43.5,40.66,32.5,29.7,358.72
Oct,1991,43,73.6,38.11,33,5.9,45.3,38.29,37.5,34.3,741.12
Nov,1991,7,17.9,8.13,4,1,9.5,8.2,0,19.2,382.91
Dic,1991,19,10.5,15.04,7,0.7,21.5,15.25,7,22.4,313.66
Ene,1992,112,113.9,94.93,101,46.6,100.5,94.77,68,101.6,410.13
Feb,1992,10,11.5,8.33,7,0.8,9,8.35,6,10.4,316.69
Mar,1992,30,41.5,19.29,31,3.1,13.9,18.97,12,15.2,255.91
Abr,1992,44,110.9,60.48,56,18.3,59.5,60.54,54.5,79.5,227.92
May,1992,219,160.7,172.55,204,103,176,171.82,137,151.1,382.01
Jun,1992,15,17.5,17.85,18,0,20.9,17.88,19.5,14.5,359.62
Jul,1992,45,59.5,58.47,17,38,81.5,59.56,53,87.8,380.09
Ago,1992,43,57.9,53.24,114,78,49.5,51.85,30,26,358.72
Sep,1992,37,44.7,25.01,27,23,27,24.99,25.4,15,403.07
Oct,1992,56,61.8,30.93,36,59,39.5,30.9,29,7.5,552.72
